Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Media_Goles_Locales;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Media_Goles_Visitantes;Puntos_Locales;Media_Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Media_Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Clasificacion_Europea;Resultados;Fecha;Temporada
Málaga;Local;0;0;1,37;0;0;0;1;1,58;1;0;0;0;0;1;0;0;0;0;No;No;x;21/08/2015;2015/2016
Sevilla;Visitante;0;0;0;0;0;0,68;0;0;0;1;0,47;1;0;0;0;0;1;0;No;No;x;21/08/2015;2015/2016
Atlético;Local;1;1;1,74;0;0;0;3;2,53;3;0;0;0;1;0;0;0;0;0;No;Si;1;22/08/2015;2015/2016
Las Palmas;Visitante;0;0;0;0;0;1,05;0;0;0;0;0,79;0;0;0;0;0;0;1;No;No;1;22/08/2015;2015/2016
Espanyol;Local;1;1;1,16;0;0;0;3;1,68;3;0;0;0;1;0;0;0;0;0;No;No;1;22/08/2015;2015/2016
Getafe;Visitante;0;0;0;0;0;0,74;0;0;0;0;0,58;0;0;0;0;0;0;1;Si;No;1;22/08/2015;2015/2016
Deportivo;Local;0;0;1,32;0;0;0;1;1,05;1;0;0;0;0;1;0;0;0;0;No;Si;x;22/08/2015;2015/2016
R. Sociedad;Visitante;0;0;0;0;0;1,47;0;0;0;1;1,16;1;0;0;0;0;1;0;No;No;x;22/08/2015;2015/2016
Rayo;Local;0;0;1,53;0;0;0;1;1,47;1;0;0;0;0;1;0;0;0;0;Si;No;x;22/08/2015;2015/2016
Valencia;Visitante;0;0;0;0;0;1,11;0;0;0;1;1;1;0;0;0;0;1;0;No;No;x;22/08/2015;2015/2016
Athletic;Local;0;0;1,84;0;0;0;0;1,95;0;0;0;0;0;0;1;0;0;0;No;Si;2;23/08/2015;2015/2016
Barcelona;Visitante;0;0;0;1;1;2,37;0;0;0;3;2,21;3;0;0;0;1;0;0;No;Si;2;23/08/2015;2015/2016
Betis;Local;1;1;0,89;0;0;0;1;1,26;1;0;0;0;0;1;0;0;0;0;No;No;x;23/08/2015;2015/2016
Villarreal;Visitante;0;0;0;1;1;0,95;0;0;0;1;1,26;1;0;0;0;0;1;0;No;Si;x;23/08/2015;2015/2016
Levante;Local;1;1;1,21;0;0;0;0;1,37;0;0;0;0;0;0;1;0;0;0;Si;No;2;23/08/2015;2015/2016
Celta;Visitante;0;0;0;2;2;1,16;0;0;0;3;1,16;3;0;0;0;1;0;0;No;Si;2;23/08/2015;2015/2016
Sporting Gijón;Local;0;0;1,47;0;0;0;1;1,32;1;0;0;0;0;1;0;0;0;0;No;No;x;23/08/2015;2015/2016
Real Madrid;Visitante;0;0;0;0;0;2,11;0;0;0;1;2,16;1;0;0;0;0;1;0;No;Si;x;23/08/2015;2015/2016
Granada;Local;1;1;1,37;0;0;0;0;1,21;0;0;0;0;0;0;1;0;0;0;No;No;2;24/08/2015;2015/2016
Eibar;Visitante;0;0;0;3;3;1,21;0;0;0;3;0,74;3;0;0;0;1;0;0;No;No;2;24/08/2015;2015/2016
Villarreal;Local;3;3;1,37;0;0;0;3;2,11;3;0;0;0;1;0;0;0;0;0;No;Si;1;28/08/2015;2015/2016
Espanyol;Visitante;0;0;0;1;1;0,95;0;0;0;0;0,58;0;0;0;0;0;0;1;No;No;1;28/08/2015;2015/2016
Barcelona;Local;1;1;3,52;0;0;0;3;2,58;3;0;0;0;1;0;0;0;0;0;No;Si;1;29/08/2015;2015/2016
Málaga;Visitante;0;0;0;0;0;0,63;0;0;0;0;0,95;0;0;0;0;0;0;1;No;No;1;29/08/2015;2015/2016
Celta;Local;3;3;1,52;0;0;0;3;1,74;3;0;0;0;1;0;0;0;0;0;No;Si;1;29/08/2015;2015/2016
Rayo;Visitante;0;0;0;0;0;1,21;0;0;0;0;0,53;0;0;0;0;0;0;1;Si;No;1;29/08/2015;2015/2016
Real Madrid;Local;5;5;3,68;0;0;0;3;2,58;3;0;0;0;1;0;0;0;0;0;No;Si;1;29/08/2015;2015/2016
Betis;Visitante;0;0;0;0;0;0,89;0;0;0;0;1,11;0;0;0;0;0;0;1;No;No;1;29/08/2015;2015/2016
R. Sociedad;Local;0;0;1,15;0;0;0;1;1,37;1;0;0;0;0;1;0;0;0;0;No;No;x;29/08/2015;2015/2016
Sporting Gijón;Visitante;0;0;0;0;0;0,63;0;0;0;1;0,74;1;0;0;0;0;1;0;No;No;x;29/08/2015;2015/2016
Eibar;Local;2;2;1,37;0;0;0;3;1,53;3;0;0;0;1;0;0;0;0;0;No;No;1;30/08/2015;2015/2016
Athletic;Visitante;0;0;0;0;0;1,21;0;0;0;0;1,32;0;0;0;0;0;0;1;No;Si;1;30/08/2015;2015/2016
Getafe;Local;1;1;1,21;0;0;0;0;1,32;0;0;0;0;0;0;1;0;0;0;Si;No;2;30/08/2015;2015/2016
Granada;Visitante;0;0;0;2;0;1,05;0;0;0;3;0,84;3;0;0;0;1;0;0;No;No;2;30/08/2015;2015/2016
Las Palmas;Local;0;0;1,31;0;0;0;1;1,53;1;0;0;0;0;1;0;0;0;0;No;No;x;30/08/2015;2015/2016
