Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Resultados;Fecha;Temporada
Málaga;Local;0;0;0;0;1;1;0;0;0;1;0;0;0;0;No;x;21/08/2015;2015/2016
Sevilla;Visitante;0;0;0;0;0;0;1;1;0;0;0;0;1;0;No;x;21/08/2015;2015/2016
Atlético;Local;1;1;0;0;3;3;0;0;1;0;0;0;0;0;No;1;22/08/2015;2015/2016
Las Palmas;Visitante;0;0;0;0;0;0;0;0;0;0;0;0;0;1;No;1;22/08/2015;2015/2016
Espanyol;Local;1;1;0;0;3;3;0;0;1;0;0;0;0;0;No;1;22/08/2015;2015/2016
Getafe;Visitante;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Si;1;22/08/2015;2015/2016
Deportivo;Local;0;0;0;0;1;1;0;0;0;1;0;0;0;0;No;x;22/08/2015;2015/2016
R. Sociedad;Visitante;0;0;0;0;0;0;1;1;0;0;0;0;1;0;No;x;22/08/2015;2015/2016
Rayo;Local;0;0;0;0;1;1;0;0;0;1;0;0;0;0;Si;x;22/08/2015;2015/2016
Valencia;Visitante;0;0;0;0;0;0;1;1;0;0;0;0;1;0;No;x;22/08/2015;2015/2016
Athletic;Local;0;0;0;0;0;0;0;0;0;0;1;0;0;0;No;2;23/08/2015;2015/2016
Barcelona;Visitante;0;0;1;1;0;0;3;3;0;0;0;1;0;0;No;2;23/08/2015;2015/2016
Betis;Local;1;1;0;0;1;1;0;0;0;1;0;0;0;0;No;x;23/08/2015;2015/2016
Villarreal;Visitante;0;0;1;1;0;0;1;1;0;0;0;0;1;0;No;x;23/08/2015;2015/2016
Levante;Local;1;1;0;0;0;0;0;0;0;0;1;0;0;0;Si;2;23/08/2015;2015/2016
Celta;Visitante;0;0;2;2;0;0;3;3;0;0;0;1;0;0;No;2;23/08/2015;2015/2016
Sporting Gijón;Local;0;0;0;0;1;1;0;0;0;1;0;0;0;0;No;x;23/08/2015;2015/2016
Real Madrid;Visitante;0;0;0;0;0;0;1;1;0;0;0;0;1;0;No;x;23/08/2015;2015/2016
Granada;Local;1;1;0;0;0;0;0;0;0;0;1;0;0;0;No;2;24/08/2015;2015/2016
Eibar;Visitante;0;0;3;3;0;0;3;3;0;0;0;1;0;0;No;2;24/08/2015;2015/2016
Villarreal;Local;3;3;0;0;3;3;0;0;1;0;0;0;0;0;No;1;28/08/2015;2015/2016
Espanyol;Visitante;0;0;1;1;0;0;0;0;0;0;0;0;0;1;No;1;28/08/2015;2015/2016
Barcelona;Local;1;1;0;0;3;3;0;0;1;0;0;0;0;0;No;1;29/08/2015;2015/2016
Málaga;Visitante;0;0;0;0;0;0;0;0;0;0;0;0;0;1;No;1;29/08/2015;2015/2016
Celta;Local;3;3;0;0;3;3;0;0;1;0;0;0;0;0;No;1;29/08/2015;2015/2016
Rayo;Visitante;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Si;1;29/08/2015;2015/2016
Real Madrid;Local;5;5;0;0;3;3;0;0;1;0;0;0;0;0;No;1;29/08/2015;2015/2016
Betis;Visitante;0;0;0;0;0;0;0;0;0;0;0;0;0;1;No;1;29/08/2015;2015/2016
R. Sociedad;Local;0;0;0;0;1;1;0;0;0;1;0;0;0;0;No;x;29/08/2015;2015/2016
Sporting Gijón;Visitante;0;0;0;0;0;0;1;1;0;0;0;0;1;0;No;x;29/08/2015;2015/2016
Eibar;Local;2;2;0;0;3;3;0;0;1;0;0;0;0;0;No;1;30/08/2015;2015/2016
Athletic;Visitante;0;0;0;0;0;0;0;0;0;0;0;0;0;1;No;1;30/08/2015;2015/2016
Getafe;Local;1;1;0;0;0;0;0;0;0;0;1;0;0;0;Si;2;30/08/2015;2015/2016
Granada;Visitante;0;0;2;0;0;0;3;3;0;0;0;1;0;0;No;2;30/08/2015;2015/2016
Las Palmas;Local;0;0;0;0;1;1;0;0;0;1;0;0;0;0;No;x;30/08/2015;2015/2016
Levante;Visitante;0;0;0;0;0;0;1;1;0;0;0;0;1;0;Si;x;30/08/2015;2015/2016
