Equipo_Local;Equipo_Visitante;Temporada;Goles_Local;Goles_Visitante;Puntos_Locales;Puntos_Visitantes;Resultado
Athletic;Barcelona;2019/2020;1;0;3;0;1
Celta;Real Madrid;2019/2020;1;3;0;3;2
Valencia;R. Sociedad;2019/2020;1;1;1;1;x
Mallorca;Eibar;2019/2020;2;1;3;0;1
Villarreal;Granada;2019/2020;4;4;1;1;x
Leganés;Osasuna;2019/2020;0;1;0;3;2
Alavés;Levante;2019/2020;1;0;3;0;1
Espanyol;Sevilla;2019/2020;0;2;0;3;2
Betis;Real Valladolid;2019/2020;1;2;0;3;2
Atlético;Getafe;2019/2020;1;0;3;0;1
Granada;Sevilla;2019/2020;0;1;0;3;2
Levante;Villarreal;2019/2020;2;1;3;0;1
Osasuna;Eibar;2019/2020;0;0;1;1;x
Real Madrid;Real Valladolid;2019/2020;1;1;1;1;x
Getafe;Athletic;2019/2020;1;1;1;1;x
Celta;Valencia;2019/2020;1;0;3;0;1
Mallorca;R. Sociedad;2019/2020;0;1;0;3;2
Alavés;Espanyol;2019/2020;0;0;1;1;x
Leganés;Atlético;2019/2020;0;1;0;3;2
Barcelona;Betis;2019/2020;5;2;3;0;1
Sevilla;Celta;2019/2020;1;1;1;1;x
Athletic;R. Sociedad;2019/2020;2;0;3;0;1
Osasuna;Barcelona;2019/2020;2;2;1;1;x
Getafe;Alavés;2019/2020;1;1;1;1;x
Levante;Real Valladolid;2019/2020;2;0;3;0;1
Betis;Leganés;2019/2020;2;1;3;0;1
Valencia;Mallorca;2019/2020;2;0;3;0;1
Atlético;Eibar;2019/2020;3;2;3;0;1
Espanyol;Granada;2019/2020;0;3;0;3;2
Villarreal;Real Madrid;2019/2020;2;2;1;1;x
Mallorca;Athletic;2019/2020;0;0;1;1;x
Real Madrid;Levante;2019/2020;3;2;3;0;1
Leganés;Villarreal;2019/2020;0;3;0;3;2
R. Sociedad;Atlético;2019/2020;2;0;3;0;1
Barcelona;Valencia;2019/2020;5;2;3;0;1
Eibar;Espanyol;2019/2020;1;2;0;3;2
Alavés;Sevilla;2019/2020;0;1;0;3;2
Celta;Granada;2019/2020;0;2;0;3;2
Real Valladolid;Osasuna;2019/2020;1;1;1;1;x
Betis;Getafe;2019/2020;1;1;1;1;x
Osasuna;Betis;2019/2020;0;0;1;1;x
Villarreal;Real Valladolid;2019/2020;2;0;3;0;1
