EquipoLocal;EquipoVisitante;Temporada;Fecha;Goles_Locales;Goles_Visitantes;Puntos_locales;Puntos_Visitantes;Diferencia_Goles;Resultado
Málaga;Sevilla;2015/2016;21/08/2015;0;0;1;1;0;x
Atlético;Las Palmas;2015/2016;22/08/2015;1;0;3;0;1;1
Espanyol;Getafe;2015/2016;22/08/2015;1;0;3;0;1;1
Deportivo;R. Sociedad;2015/2016;22/08/2015;0;0;1;1;0;x
Rayo;Valencia;2015/2016;22/08/2015;0;0;1;1;0;x
Athletic;Barcelona;2015/2016;23/08/2015;0;1;0;3;1;2
Betis;Villarreal;2015/2016;23/08/2015;1;1;1;1;0;x
Levante;Celta;2015/2016;23/08/2015;1;2;0;3;1;2
Sporting Gijón;Real Madrid;2015/2016;23/08/2015;0;0;1;1;0;x
Granada;Eibar;2015/2016;24/08/2015;1;3;0;3;2;2
Villarreal;Espanyol;2015/2016;28/08/2015;3;1;3;0;2;1
Barcelona;Málaga;2015/2016;29/08/2015;1;0;3;0;1;1
Celta;Rayo;2015/2016;29/08/2015;3;0;3;0;3;1
Real Madrid;Betis;2015/2016;29/08/2015;5;0;3;0;5;1
R. Sociedad;Sporting Gijón;2015/2016;29/08/2015;0;0;1;1;0;x
Eibar;Athletic;2015/2016;30/08/2015;2;0;3;0;2;1
Getafe;Granada;2015/2016;30/08/2015;1;2;0;3;1;2
Las Palmas;Levante;2015/2016;30/08/2015;0;0;1;1;0;x
Sevilla;Atlético;2015/2016;30/08/2015;0;3;0;3;3;2
Valencia;Deportivo;2015/2016;30/08/2015;1;1;1;1;0;x
Levante;Sevilla;2015/2016;11/09/2015;1;1;1;1;0;x
Atlético;Barcelona;2015/2016;12/09/2015;1;2;0;3;1;2
Betis;R. Sociedad;2015/2016;12/09/2015;1;0;3;0;1;1
Espanyol;Real Madrid;2015/2016;12/09/2015;0;6;0;3;6;2
Sporting Gijón;Valencia;2015/2016;12/09/2015;0;1;0;3;1;2
Athletic;Getafe;2015/2016;13/09/2015;3;1;3;0;2;1
Celta;Las Palmas;2015/2016;13/09/2015;3;3;1;1;0;x
Granada;Villarreal;2015/2016;13/09/2015;1;3;0;3;2;2
Málaga;Eibar;2015/2016;13/09/2015;0;0;1;1;0;x
Rayo;Deportivo;2015/2016;14/09/2015;1;3;0;3;2;2
Getafe;Málaga;2015/2016;18/09/2015;1;0;3;0;1;1
Eibar;Atlético;2015/2016;19/09/2015;0;2;0;3;2;2
Real Madrid;Granada;2015/2016;19/09/2015;1;0;3;0;1;1
R. Sociedad;Espanyol;2015/2016;19/09/2015;2;3;0;3;1;2
Valencia;Betis;2015/2016;19/09/2015;0;0;1;1;0;x
Barcelona;Levante;2015/2016;20/09/2015;4;1;3;0;3;1
Deportivo;Sporting Gijón;2015/2016;20/09/2015;2;3;0;3;1;2
Las Palmas;Rayo;2015/2016;20/09/2015;0;1;0;3;1;2
Sevilla;Celta;2015/2016;20/09/2015;1;2;0;3;1;2
Villarreal;Athletic;2015/2016;20/09/2015;3;1;3;0;2;1
Atlético;Getafe;2015/2016;22/09/2015;2;0;3;0;2;1
Espanyol;Valencia;2015/2016;22/09/2015;1;0;3;0;1;1
Granada;R. Sociedad;2015/2016;22/09/2015;0;3;0;3;3;2
Athletic;Real Madrid;2015/2016;23/09/2015;1;2;0;3;1;2
Celta;Barcelona;2015/2016;23/09/2015;4;1;3;0;3;1
Las Palmas;Sevilla;2015/2016;23/09/2015;2;0;3;0;2;1
Levante;Eibar;2015/2016;23/09/2015;2;2;1;1;0;x
Málaga;Villarreal;2015/2016;23/09/2015;0;1;0;3;1;2
Rayo;Sporting Gijón;2015/2016;23/09/2015;2;1;3;0;1;1
Betis;Deportivo;2015/2016;24/09/2015;1;2;0;3;1;2
Valencia;Granada;2015/2016;25/09/2015;1;0;3;0;1;1
Barcelona;Las Palmas;2015/2016;26/09/2015;2;1;3;0;1;1
Eibar;Celta;2015/2016;26/09/2015;1;1;1;1;0;x
Real Madrid;Málaga;2015/2016;26/09/2015;0;0;1;1;0;x
Sevilla;Rayo;2015/2016;26/09/2015;3;2;3;0;1;1
Villarreal;Atlético;2015/2016;26/09/2015;1;0;3;0;1;1
Getafe;Levante;2015/2016;27/09/2015;3;0;3;0;3;1
Deportivo;Espanyol;2015/2016;27/09/2015;3;0;3;0;3;1
R. Sociedad;Athletic;2015/2016;27/09/2015;0;0;1;1;0;x
Sporting Gijón;Betis;2015/2016;27/09/2015;1;2;0;3;1;2
Celta;Getafe;2015/2016;02/10/2015;0;0;1;1;0;x
Espanyol;Sporting Gijón;2015/2016;03/10/2015;1;2;0;3;1;2
Granada;Deportivo;2015/2016;03/10/2015;1;1;1;1;0;x
Las Palmas;Eibar;2015/2016;03/10/2015;0;2;0;3;2;2
Málaga;R. Sociedad;2015/2016;03/10/2015;3;1;3;0;2;1
Sevilla;Barcelona;2015/2016;03/10/2015;2;1;3;0;1;1
Athletic;Valencia;2015/2016;04/10/2015;3;1;3;0;2;1
Atlético;Real Madrid;2015/2016;04/10/2015;1;1;1;1;0;x
Levante;Villarreal;2015/2016;04/10/2015;1;0;3;0;1;1
Rayo;Betis;2015/2016;04/10/2015;0;2;0;3;2;2
Barcelona;Rayo;2015/2016;17/10/2015;5;2;3;0;3;1
Betis;Espanyol;2015/2016;17/10/2015;1;3;0;3;2;2
Eibar;Sevilla;2015/2016;17/10/2015;1;1;1;1;0;x
Real Madrid;Levante;2015/2016;17/10/2015;3;0;3;0;3;1
Valencia;Málaga;2015/2016;17/10/2015;3;0;3;0;3;1
Getafe;Las Palmas;2015/2016;18/10/2015;4;0;3;0;4;1
Deportivo;Athletic;2015/2016;18/10/2015;2;2;1;1;0;x
R. Sociedad;Atlético;2015/2016;18/10/2015;0;2;0;3;2;2
Villarreal;Celta;2015/2016;18/10/2015;1;2;0;3;1;2
Sporting Gijón;Granada;2015/2016;19/10/2015;3;3;1;1;0;x
Rayo;Espanyol;2015/2016;23/10/2015;3;0;3;0;3;1
