,countriesAndTerritories,cases,deaths
0,Afghanistan,49273,1971
1,Albania,48530,1003
2,Algeria,92102,2596
3,Andorra,7338,79
4,Angola,16188,371
5,Anguilla,10,0
6,Antigua_and_Barbuda,148,4
7,Argentina,1498160,40766
8,Armenia,148682,2503
9,Aruba,5049,46
10,Australia,28031,908
11,Austria,320036,4400
12,Azerbaijan,175874,1922
13,Bahamas,7674,163
14,Bahrain,89143,348
15,Bangladesh,490533,7052
16,Barbados,292,7
17,Belarus,160295,1263
18,Belgium,608001,17951
19,Belize,9295,195
20,Benin,3090,44
21,Bermuda,431,9
22,Bhutan,438,0
23,Bolivia,147150,9018
24,"Bonaire, Saint Eustatius and Saba",173,3
25,Bosnia_and_Herzegovina,101117,3336
26,Botswana,12501,37
27,Brazil,6901952,181402
28,British_Virgin_Islands,76,1
29,Brunei_Darussalam,152,3
30,Bulgaria,179449,5688
31,Burkina_Faso,4030,71
32,Burundi,729,1
33,Cambodia,359,0
34,Cameroon,25143,443
35,Canada,460743,13431
36,Cape_Verde,11357,110
37,Cases_on_an_international_conveyance_Japan,696,7
38,Cayman_Islands,298,2
39,Central_African_Republic,4936,63
40,Chad,1770,102
41,Chile,571919,15886
42,China,92021,4739
43,Colombia,1425774,39053
44,Comoros,628,7
45,Congo,6049,99
46,Costa_Rica,150947,1895
47,Cote_dIvoire,21680,133
48,Croatia,175886,2640
49,Cuba,9423,137
50,Curaçao,3624,11
51,Cyprus,15101,78
52,Czechia,581079,9609
53,Democratic_Republic_of_the_Congo,14512,355
54,Denmark,109758,941
55,Djibouti,5728,61
56,Dominica,87,0
57,Dominican_Republic,154692,2361
58,Ecuador,202110,13875
59,Egypt,121575,6920
60,El_Salvador,41880,1205
61,Equatorial_Guinea,5185,85
62,Eritrea,711,0
63,Estonia,18055,149
64,Eswatini,6768,127
65,Ethiopia,116769,1806
66,Falkland_Islands_(Malvinas),19,0
67,Faroe_Islands,528,0
68,Fiji,46,2
69,Finland,30810,453
70,France,2376852,57911
71,French_Polynesia,15618,91
72,Gabon,9330,63
73,Gambia,3782,123
74,Georgia,191063,1839
75,Germany,1337078,21975
76,Ghana,53014,327
77,Gibraltar,1075,5
78,Greece,124534,3625
79,Greenland,19,0
80,Grenada,69,0
81,Guam,7106,118
82,Guatemala,129282,4423
83,Guernsey,289,13
84,Guinea,13420,79
85,Guinea_Bissau,2444,44
86,Guyana,5920,155
87,Haiti,9565,234
88,Holy_See,26,0
89,Honduras,114359,2975
90,Hungary,283870,7130
91,Iceland,5557,28
92,India,9884100,143355
93,Indonesia,617820,18819
94,Iran,1108269,52196
95,Iraq,574634,12579
96,Ireland,76185,2124
97,Isle_of_Man,370,25
98,Israel,357859,2999
99,Italy,1843712,64520
100,Jamaica,11710,273
101,Japan,179653,2585
102,Jersey,1779,32
103,Jordan,259614,3365
104,Kazakhstan,186277,2552
105,Kenya,91892,1587
106,Kosovo,46580,1198
107,Kuwait,146218,911
108,Kyrgyzstan,77674,1312
109,Laos,41,0
110,Latvia,25675,349
111,Lebanon,146520,1200
112,Lesotho,2250,44
113,Liberia,1676,83
114,Libya,90779,1299
115,Liechtenstein,1514,18
116,Lithuania,95021,825
117,Luxembourg,41272,396
118,Madagascar,17638,258
119,Malawi,6066,187
120,Malaysia,83475,415
121,Maldives,13368,48
122,Mali,5814,194
123,Malta,11101,166
124,Marshall_Islands,4,0
125,Mauritania,10780,222
126,Mauritius,515,10
127,Mexico,1250044,113953
128,Moldova,126518,2572
129,Monaco,668,2
130,Mongolia,912,0
131,Montenegro,41426,582
132,Montserrat,13,1
133,Morocco,399609,6624
134,Mozambique,16954,142
135,Myanmar,108342,2268
136,Namibia,16536,160
137,Nepal,248423,1698
138,Netherlands,612746,10034
139,New_Caledonia,36,0
140,New_Zealand,1740,25
141,Nicaragua,5887,162
142,Niger,2258,80
143,Nigeria,73175,1197
144,North_Macedonia,73638,2121
145,Northern_Mariana_Islands,113,2
146,Norway,40022,387
147,Oman,126240,1471
148,Pakistan,440787,8832
149,Palestine,124657,1079
150,Panama,193007,3356
151,Papua_New_Guinea,725,8
