Equipo_Local;Equipo_Visitante;Goles_Equipo_Local;Goles_Equipo_Visitante;Temporada;Fecha
Málaga;Sevilla;0;0;2015/2016;21/08/2015
Atlético;Las Palmas;1;0;2015/2016;22/08/2015
Espanyol;Getafe;1;0;2015/2016;22/08/2015
Deportivo;R. Sociedad;0;0;2015/2016;22/08/2015
Rayo;Valencia;0;0;2015/2016;22/08/2015
Athletic;Barcelona;0;1;2015/2016;23/08/2015
Betis;Villarreal;1;1;2015/2016;23/08/2015
Levante;Celta;1;2;2015/2016;23/08/2015
Sporting Gijón;Real Madrid;0;0;2015/2016;23/08/2015
Granada;Eibar;1;3;2015/2016;24/08/2015
Villarreal;Espanyol;3;1;2015/2016;28/08/2015
Barcelona;Málaga;1;0;2015/2016;29/08/2015
Celta;Rayo;3;0;2015/2016;29/08/2015
Real Madrid;Betis;5;0;2015/2016;29/08/2015
R. Sociedad;Sporting Gijón;0;0;2015/2016;29/08/2015
Eibar;Athletic;2;0;2015/2016;30/08/2015
Getafe;Granada;1;2;2015/2016;30/08/2015
Las Palmas;Levante;0;0;2015/2016;30/08/2015
Sevilla;Atlético;0;3;2015/2016;30/08/2015
Valencia;Deportivo;1;1;2015/2016;30/08/2015
Levante;Sevilla;1;1;2015/2016;11/09/2015
Atlético;Barcelona;1;2;2015/2016;12/09/2015
Betis;R. Sociedad;1;0;2015/2016;12/09/2015
Espanyol;Real Madrid;0;6;2015/2016;12/09/2015
Sporting Gijón;Valencia;0;1;2015/2016;12/09/2015
Athletic;Getafe;3;1;2015/2016;13/09/2015
Celta;Las Palmas;3;3;2015/2016;13/09/2015
Granada;Villarreal;1;3;2015/2016;13/09/2015
Málaga;Eibar;0;0;2015/2016;13/09/2015
Rayo;Deportivo;1;3;2015/2016;14/09/2015
Getafe;Málaga;1;0;2015/2016;18/09/2015
Eibar;Atlético;0;2;2015/2016;19/09/2015
Real Madrid;Granada;1;0;2015/2016;19/09/2015
R. Sociedad;Espanyol;2;3;2015/2016;19/09/2015
Valencia;Betis;0;0;2015/2016;19/09/2015
